Job Name,Company,Location
Veri Analisti,İstanbul Favori Gıda San. Tic. A.Ş.,İstanbul(Asya)
Veri Analisti,TÜRKTIPSAN Sağlık Turizm Eğitim ve Ticaret  A.Ş,Ankara
Veri Analisti,Enerjisa Dağıtım - Başkent Elektrik Dağıtım A.Ş,Ankara
Veri Analisti,KIRAN HOLDİNG A.Ş.,İstanbul(Asya)
E-Ticaret Veri Analisti,Atasay Kuyumculuk,İstanbul(Avr.)
İş ve Veri Analisti,Sabanci Üniversitesi,İstanbul(Asya)
Veri Metodisti,ICBC TURKEY BANK A.Ş.,İstanbul(Avr.)
İş Analisti,Smartiks Yazılım A.Ş.,İstanbul (Tümü)
İş Analisti,Fiba Perakende Grubu,İstanbul(Asya)
Laboratuvar Analisti,Uzman Kalite Eğitim Danışmanlık ve Laboratuvar Hizmetleri Ltd. Şti.,İstanbul(Avr.)
İş Analisti,NTECHNIC ELEKTRONİK SANAYİ TİCARET ANONİM ŞİRKETİ,İstanbul(Asya)
İş Analisti,Motor Aşin Otomotiv,İstanbul(Avr.)
Laboratuvar Analisti,Usb Certıfıcatıon Denetim Gözetim ve Belgelendirme Hizmetleri Anonim Şirketi,İstanbul(Asya)
Kimya Analisti,Mefar İlaç Sanayii A.Ş.,İstanbul(Asya)
İş Analisti,DERİMOD Konfeksiyon Ayakkabı Deri San. ve Tic. AŞ.,İstanbul(Avr.)
İş Analisti,Alpin Çorap San. Tic.Aş,İstanbul(Avr.)
İş Analisti,ALBARAKA TEKNOLOJİ BİLİŞİM SİSTEMLERİ VE PAZARLAMA TİCARET ANONİM ŞİRKETİ,İstanbul(Asya)
İş Analisti,Randstad Türkiye,İstanbul (Tümü)
İş Analisti,YILDIZ ENTEGRE AĞAÇ SAN. VE TİC. A.Ş.,Kocaeli
İş Analisti,World Medicine İlaç San.Ve Tic. A.Ş.,İstanbul(Avr.)
DWH Analisti,Viennalife Emeklilik ve Hayat A.Ş.,İstanbul(Asya)
İş Analisti,REPKON,İstanbul(Asya)
Data Analisti,LETONİX ÇAĞRI HİZMETLERİ TİCARET LİMİTED ŞİRKETİ,İstanbul(Avr.)
İş Analisti,NET ZEMİN KAPLAMALARI SANAYİ VE TİCARET ANONİM ŞİRKETİ,Tekirdağ
İş Analisti,Arkas Lojistik,İstanbul(Asya)
İş Analisti,Gizli Firma,İstanbul (Tümü)
İş Analisti,HEETSOFT BİLGİ TEKNOLOJİLERİ,"İstanbul (Tümü),  Kocaeli"
Data Analisti,SİSTEM GLOBAL DANIŞMANLIK BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK ANONİM ŞİRKETİ,İstanbul(Avr.)
İş Analisti,OSMANLI YATIRIM MENKUL DEĞERLER A.Ş,İstanbul (Tümü)
Yazılım Analisti,Ak Yatırım Menkul Değerler A.Ş.,İstanbul(Avr.)
Veri Analizi Yöneticisi,Şölen Çikolata Gıda San. ve Tic. A.Ş.,İstanbul(Avr.)
Veri Bilimi Uzmanı,Otokar,Sakarya
IT İş Analisti,KPMG Türkiye,İstanbul(Avr.)
Kıdemli Sistem Analisti,Koton,İstanbul(Avr.)
Cbs İş Analisti,Pointo Teknoloji A.Ş.,İstanbul (Tümü) +2 il daha
Bs İş Analisti,Türkiye Finans Katılım Bankası,İstanbul (Tümü)
Junior Enerji Analisti,Randstad Türkiye,İstanbul (Tümü)
İş Analisti (Sap),BAYMAK,İstanbul(Asya)
Kıdemli CRM Analisti,Suwen Tekstil Sanayi Pazarlama,İstanbul(Asya)
Kıdemli İş Analisti,METEKSAN SAVUNMA SANAYİ A.Ş.,Ankara
Gratis - SEO Analisti,Gratis,İstanbul(Avr.)
SAP İş Analisti,Dem İlaç,İstanbul(Asya)
Kalite Kontrol Analisti,Alke Sağlık Ürünleri San.ve Tic.A.Ş.,Tokat
Planlama ve Raporlama Analisti,ESTETİK YAYINCILIK A.Ş.,İstanbul(Avr.)
Entegrasyon Sistem Analisti / Py,Bizofis,İstanbul(Avr.)
BT İş Analisti (Lojistik),Koton,Kocaeli
